WetPeriod,Station,Start of Wetting Period,End of Wetting Period,Duration (Hrs.),Avg. Temp(F),Rainfall (in.),Anthracnose risk,Wet hrs @ avg temp required for infection,Progress toward infection
186,East Lansing (MSUHort),8/28/2018 23:00,8/29/2018 10:00,11.1,67.1,0.58,None,11.3,98%
187,East Lansing (MSUHort),8/30/2018 2:55,8/30/2018 9:05,6.3,53.8,0,None,18.1,35%
189,East Lansing (MSUHort),10/1/2018 0:00,10/3/2018 11:15,59.3,53.4,1.98,High,18.1,357%
190,East Lansing (MSUHort),10/4/2018 1:40,10/4/2018 5:40,4.1,58.3,0.13,None,15.3,47%
191,East Lansing (MSUHort),10/4/2018 21:50,10/5/2018 7:15,9.5,42.7,0,None,30,32%
192,East Lansing (MSUHort),10/5/2018 10:05,10/8/2018 12:00,74,55.8,0.66,High,16.9,480%
193,East Lansing (MSUHort),10/8/2018 19:45,10/8/2018 20:55,1.3,70.9,0,None,9.9,13%
194,East Lansing (MSUHort),10/8/2018 23:35,10/9/2018 8:50,9.3,65.4,0,None,12.1,77%
195,East Lansing (MSUHort),10/9/2018 15:10,10/9/2018 15:40,0.6,80.4,0,None,9.5,6%
196,East Lansing (MSUHort),10/9/2018 20:50,10/9/2018 22:10,1.4,68.8,0,None,10.8,13%
197,East Lansing (MSUHort),10/10/2018 5:50,10/10/2018 8:40,2.9,64,0,None,12.6,23%
198,East Lansing (MSUHort),10/10/2018 14:15,10/11/2018 1:45,11.6,68.3,0.56,Low,10.8,107%
199,East Lansing (MSUHort),10/12/2018 16:40,10/13/2018 8:25,15.8,39.3,0.1,None,0,10%
200,East Lansing (MSUHort),10/13/2018 22:20,10/14/2018 9:50,11.6,37,0,None,0,8%
201,East Lansing (MSUHort),10/14/2018 20:15,10/14/2018 21:35,1.4,44.6,0,None,25.2,6%
202,East Lansing (MSUHort),10/15/2018 2:20,10/15/2018 9:30,7.3,46,0.06,None,22.8,33%
203,East Lansing (MSUHort),10/15/2018 21:30,10/16/2018 9:15,11.8,33.2,0,None,0,0%
204,East Lansing (MSUHort),10/17/2018 6:50,10/17/2018 8:50,2.1,38.6,0,None,0,2%
205,East Lansing (MSUHort),10/17/2018 22:05,10/18/2018 10:00,12,27.9,0,None,0,0%
206,East Lansing (MSUHort),10/19/2018 15:45,10/19/2018 18:05,2.4,37.5,0,None,0,12%
207,East Lansing (MSUHort),10/19/2018 21:45,10/20/2018 18:25,20.8,41.9,0.19,None,32.4,81%
208,East Lansing (MSUHort),10/21/2018 19:40,10/21/2018 23:50,4.3,34.2,0,None,0,0%
209,East Lansing (MSUHort),10/22/2018 20:05,10/23/2018 7:45,11.8,40.1,0,None,34.8,25%
210,East Lansing (MSUHort),10/24/2018 0:55,10/24/2018 9:50,9,32,0,None,0,0%
211,East Lansing (MSUHort),10/24/2018 19:30,10/25/2018 9:55,14.5,28,0,None,0,0%
212,East Lansing (MSUHort),10/27/2018 2:10,10/29/2018 10:35,56.5,38.6,0.42,None,0,128%
213,East Lansing (MSUHort),10/29/2018 18:55,10/30/2018 10:05,15.3,35.9,0,None,0,10%
214,East Lansing (MSUHort),10/30/2018 23:05,10/30/2018 23:55,0.9,55.6,0.02,None,16.9,5%
215,East Lansing (MSUHort),10/31/2018 4:15,10/31/2018 12:10,8,51.3,0.25,None,19.2,42%
216,East Lansing (MSUHort),10/31/2018 19:00,11/1/2018 7:55,13,43.1,0,None,27.6,46%
217,East Lansing (MSUHort),11/1/2018 14:15,11/2/2018 5:40,15.5,40.2,0.36,None,34.8,22%
218,East Lansing (MSUHort),11/2/2018 20:55,11/3/2018 1:10,4.3,37.6,0.01,None,0,0%
219,East Lansing (MSUHort),11/3/2018 19:30,11/3/2018 21:20,1.9,33,0,None,0,0%
220,East Lansing (MSUHort),11/4/2018 18:20,11/4/2018 18:45,0.5,47.6,0,None,22,2%
221,East Lansing (MSUHort),11/4/2018 22:45,11/5/2018 6:30,7.8,47.6,0.05,None,22,36%
222,East Lansing (MSUHort),11/5/2018 13:40,11/5/2018 13:45,0.2,45.3,0,None,23.6,1%
223,East Lansing (MSUHort),11/5/2018 21:10,11/6/2018 8:25,11.3,45.4,0.16,None,23.6,51%
224,East Lansing (MSUHort),11/6/2018 16:25,11/7/2018 2:35,10.3,40.4,0.08,None,34.8,39%
225,East Lansing (MSUHort),11/8/2018 1:05,11/8/2018 3:55,2.9,34.3,0,None,0,0%
226,East Lansing (MSUHort),11/9/2018 7:20,11/9/2018 19:00,11.8,32.8,0.08,None,0,0%
227,East Lansing (MSUHort),11/10/2018 12:35,11/10/2018 12:35,0.1,31.8,0.01,None,0,0%
228,East Lansing (MSUHort),11/12/2018 22:00,11/13/2018 19:10,21.3,28,0,None,0,0%
229,East Lansing (MSUHort),11/14/2018 15:05,11/14/2018 15:35,0.6,31.1,0.03,None,0,0%
230,East Lansing (MSUHort),11/15/2018 13:25,11/16/2018 20:45,31.4,30.9,0.21,None,0,0%
231,East Lansing (MSUHort),11/17/2018 8:10,11/17/2018 9:20,1.3,30.1,0,None,0,0%
232,East Lansing (MSUHort),11/17/2018 13:15,11/17/2018 13:50,0.7,32.4,0,None,0,0%
233,East Lansing (MSUHort),11/17/2018 22:50,11/18/2018 9:15,10.5,29.4,0,None,0,0%
234,East Lansing (MSUHort),11/18/2018 19:20,11/18/2018 20:15,1,29.6,0,None,0,0%
235,East Lansing (MSUHort),11/18/2018 23:30,11/19/2018 12:25,13,26.4,0,None,0,0%
236,East Lansing (MSUHort),11/24/2018 2:45,11/24/2018 22:40,20,40.7,0.1,None,34.8,73%
237,East Lansing (MSUHort),11/26/2018 0:05,11/30/2018 14:50,110.8,26.9,0.17,None,0,0%
238,East Lansing (MSUHort),11/30/2018 20:50,12/3/2018 13:45,65,35.4,0.44,None,0,69%
239,East Lansing (MSUHort),12/5/2018 6:35,12/5/2018 11:15,4.8,26.6,0,None,0,0%
240,East Lansing (MSUHort),12/6/2018 12:10,12/6/2018 15:30,3.4,27.6,0,None,0,0%
241,East Lansing (MSUHort),12/8/2018 23:15,12/9/2018 13:35,14.4,15.3,0,None,0,0%
242,East Lansing (MSUHort),12/9/2018 21:45,12/10/2018 3:10,5.5,22.6,0,None,0,0%
243,East Lansing (MSUHort),12/12/2018 2:55,12/12/2018 7:10,4.3,22.8,0,None,0,0%
244,East Lansing (MSUHort),12/12/2018 19:30,12/13/2018 12:20,16.9,30.1,0.02,None,0,0%
245,East Lansing (MSUHort),12/13/2018 20:00,12/15/2018 12:30,40.6,33.6,0.53,None,0,0%
246,East Lansing (MSUHort),12/15/2018 20:50,12/17/2018 10:05,37.3,31.2,0,None,0,0%
247,East Lansing (MSUHort),12/18/2018 3:40,12/18/2018 11:30,7.9,21.9,0,None,0,0%
248,East Lansing (MSUHort),12/20/2018 8:05,12/21/2018 14:40,30.7,38.9,0.28,None,0,25%
249,East Lansing (MSUHort),12/23/2018 3:40,12/23/2018 14:45,11.2,30.2,0,None,0,0%
250,East Lansing (MSUHort),12/24/2018 3:05,12/24/2018 3:40,0.7,31.5,0,None,0,0%
251,East Lansing (MSUHort),12/25/2018 7:40,12/25/2018 11:25,3.8,21.1,0,None,0,0%
252,East Lansing (MSUHort),12/26/2018 6:55,12/26/2018 11:05,4.3,31.9,0,None,0,0%
253,East Lansing (MSUHort),12/26/2018 18:20,12/27/2018 9:15,15,33.1,0.01,None,0,0%
254,East Lansing (MSUHort),12/27/2018 14:05,12/27/2018 23:45,9.8,40,0.12,None,34.8,18%
1,East Lansing (MSUHort),1/1/2019 0:00,1/1/2019 8:25,8.5,33.2,0.02,None,0,0%
2,East Lansing (MSUHort),1/1/2019 18:25,1/3/2019 11:30,41.2,28.1,0.01,None,0,0%
3,East Lansing (MSUHort),1/4/2019 20:50,1/5/2019 10:45,14,27.5,0,None,0,0%
4,East Lansing (MSUHort),1/6/2019 3:25,1/6/2019 3:30,0.2,33.3,0,None,0,0%
5,East Lansing (MSUHort),1/6/2019 8:10,1/6/2019 8:45,0.7,28.3,0,None,0,0%
6,East Lansing (MSUHort),1/7/2019 4:35,1/7/2019 7:15,2.8,31.1,0,None,0,0%
7,East Lansing (MSUHort),1/7/2019 13:30,1/7/2019 20:40,7.3,42.2,0.09,None,30,19%
8,East Lansing (MSUHort),1/8/2019 14:40,1/8/2019 15:40,1.1,40,0.02,None,34.8,1%
9,East Lansing (MSUHort),1/11/2019 7:00,1/11/2019 8:45,1.8,16.3,0,None,0,0%
10,East Lansing (MSUHort),1/14/2019 0:10,1/14/2019 11:15,11.2,13.5,0,None,0,0%
11,East Lansing (MSUHort),1/16/2019 2:45,1/16/2019 6:15,3.6,29.6,0,None,0,0%
12,East Lansing (MSUHort),1/22/2019 16:20,1/23/2019 18:30,26.3,32.2,0.44,None,0,10%
13,East Lansing (MSUHort),1/28/2019 17:10,1/29/2019 11:40,18.6,14.9,0,None,0,0%
14,East Lansing (MSUHort),2/1/2019 14:10,2/1/2019 14:10,0.1,11.5,0.01,None,0,0%
15,East Lansing (MSUHort),2/2/2019 10:55,2/2/2019 12:55,2.1,33.5,0.17,None,0,0%
16,East Lansing (MSUHort),2/4/2019 12:55,2/5/2019 3:05,14.3,44.9,0.15,None,25.2,49%
17,East Lansing (MSUHort),2/6/2019 0:25,2/7/2019 20:55,44.6,32.3,0.47,None,0,13%
18,East Lansing (MSUHort),2/11/2019 4:00,2/11/2019 10:50,6.9,21.9,0,None,0,0%
19,East Lansing (MSUHort),2/12/2019 6:30,2/13/2019 5:00,22.6,30.1,0.02,None,0,0%
20,East Lansing (MSUHort),2/14/2019 11:10,2/14/2019 13:55,2.8,35.9,0.24,None,0,1%
21,East Lansing (MSUHort),2/17/2019 20:10,2/18/2019 11:35,15.5,19.7,0.02,None,0,0%
22,East Lansing (MSUHort),2/18/2019 23:00,2/19/2019 10:35,11.7,4.3,0,None,0,0%
23,East Lansing (MSUHort),2/19/2019 13:55,2/19/2019 14:20,0.5,29.2,0.02,None,0,0%
24,East Lansing (MSUHort),2/20/2019 10:15,2/20/2019 10:15,0.1,24.3,0.01,None,0,0%
25,East Lansing (MSUHort),2/20/2019 16:35,2/20/2019 23:40,7.2,32.6,0.01,None,0,0%
26,East Lansing (MSUHort),2/22/2019 4:20,2/22/2019 9:10,4.9,16.3,0,None,0,0%
27,East Lansing (MSUHort),2/23/2019 16:45,2/24/2019 14:40,22,36,0.21,None,0,29%
28,East Lansing (MSUHort),2/27/2019 6:50,2/27/2019 9:35,2.8,16.3,0,None,0,0%
29,East Lansing (MSUHort),2/28/2019 4:05,2/28/2019 9:10,5.2,14.5,0,None,0,0%
30,East Lansing (MSUHort),2/28/2019 14:55,2/28/2019 14:55,0.1,26.9,0.01,None,0,0%
31,East Lansing (MSUHort),3/1/2019 2:00,3/1/2019 12:00,10.1,18.5,0.08,None,0,0%
32,East Lansing (MSUHort),3/3/2019 6:20,3/3/2019 8:35,2.3,15.5,0,None,0,0%
33,East Lansing (MSUHort),3/8/2019 1:40,3/8/2019 8:55,7.3,11.5,0,None,0,0%
34,East Lansing (MSUHort),3/9/2019 4:25,3/9/2019 7:50,3.5,21.3,0,None,0,0%
35,East Lansing (MSUHort),3/9/2019 18:05,3/10/2019 7:30,13.5,36.2,0.4,None,0,10%
36,East Lansing (MSUHort),3/12/2019 3:35,3/12/2019 9:15,5.8,22.1,0,None,0,0%
37,East Lansing (MSUHort),3/13/2019 4:15,3/13/2019 4:30,0.3,36.1,0,None,0,0%
38,East Lansing (MSUHort),3/13/2019 6:45,3/13/2019 13:15,6.6,37.9,0.07,None,0,4%
39,East Lansing (MSUHort),3/14/2019 4:00,3/14/2019 20:10,16.3,44,0.41,None,25.2,91%
40,East Lansing (MSUHort),3/15/2019 12:10,3/15/2019 16:45,4.7,35.5,0.06,None,0,0%
41,East Lansing (MSUHort),3/17/2019 2:10,3/17/2019 9:00,6.9,20.2,0,None,0,0%
42,East Lansing (MSUHort),3/17/2019 18:20,3/18/2019 3:15,9,27.5,0,None,0,0%
43,East Lansing (MSUHort),3/18/2019 7:25,3/18/2019 8:55,1.6,26.3,0,None,0,0%
44,East Lansing (MSUHort),3/18/2019 21:55,3/18/2019 22:10,0.3,28.9,0,None,0,0%
45,East Lansing (MSUHort),3/19/2019 0:55,3/19/2019 9:45,8.9,25,0,None,0,0%
46,East Lansing (MSUHort),3/20/2019 11:20,3/21/2019 14:10,26.9,36.1,0.45,None,0,0%
47,East Lansing (MSUHort),3/22/2019 1:45,3/22/2019 1:55,0.3,33.7,0,None,0,0%
48,East Lansing (MSUHort),3/23/2019 23:30,3/24/2019 2:20,2.9,30.5,0,None,0,0%
49,East Lansing (MSUHort),3/28/2019 4:30,3/28/2019 4:30,0.1,45,0,None,23.6,0%
50,East Lansing (MSUHort),3/29/2019 2:00,3/29/2019 3:40,1.8,41.6,0.05,None,32.4,6%
51,East Lansing (MSUHort),3/29/2019 10:30,3/29/2019 10:30,0.1,44.7,0.01,None,25.2,0%
52,East Lansing (MSUHort),3/29/2019 23:05,3/30/2019 20:10,21.2,36.9,0.45,None,0,4%
53,East Lansing (MSUHort),4/4/2019 20:50,4/5/2019 8:50,12.1,33.9,0.08,None,0,0%
54,East Lansing (MSUHort),4/5/2019 20:30,4/6/2019 10:25,14,40,0,None,34.8,27%
55,East Lansing (MSUHort),4/7/2019 16:45,4/7/2019 16:50,0.2,67.2,0,None,11.3,1%
56,East Lansing (MSUHort),4/7/2019 21:10,4/7/2019 23:45,2.7,42,0.01,None,30,19%
57,East Lansing (MSUHort),4/10/2019 21:05,4/11/2019 11:15,14.3,31.7,0.11,None,0,0%
58,East Lansing (MSUHort),4/12/2019 6:00,4/12/2019 10:15,4.3,42.1,0.26,None,30,16%
59,East Lansing (MSUHort),4/14/2019 6:40,4/15/2019 9:45,27.2,32.7,0.51,None,0,0%
60,East Lansing (MSUHort),4/16/2019 2:50,4/16/2019 12:35,9.8,38.9,0.08,None,0,21%
61,East Lansing (MSUHort),4/17/2019 3:05,4/17/2019 8:00,5,44.4,0,None,25.2,20%
62,East Lansing (MSUHort),4/17/2019 18:30,4/17/2019 20:40,2.3,46.8,0,None,22.8,14%
63,East Lansing (MSUHort),4/18/2019 8:25,4/18/2019 21:45,13.4,46.8,0.35,None,22.8,86%
64,East Lansing (MSUHort),4/19/2019 1:55,4/19/2019 12:55,11.1,38.5,0.15,None,0,9%
65,East Lansing (MSUHort),4/19/2019 18:45,4/19/2019 18:45,0.1,39.8,0.01,None,0,0%
66,East Lansing (MSUHort),4/19/2019 22:50,4/19/2019 22:55,0.2,40.8,0,None,34.8,0%
67,East Lansing (MSUHort),4/20/2019 14:10,4/21/2019 9:55,19.8,38.7,0.08,None,0,34%
68,East Lansing (MSUHort),4/22/2019 4:00,4/22/2019 4:05,0.2,46.1,0,None,22.8,1%
69,East Lansing (MSUHort),4/23/2019 2:35,4/23/2019 5:15,2.8,46.5,0.02,None,22.8,19%
70,East Lansing (MSUHort),4/24/2019 6:00,4/24/2019 7:20,1.4,35.7,0,None,0,0%
71,East Lansing (MSUHort),4/25/2019 0:35,4/25/2019 0:40,0.2,51.2,0,None,19.2,1%
72,East Lansing (MSUHort),4/25/2019 6:55,4/25/2019 7:20,0.5,48.7,0,None,21.2,2%
73,East Lansing (MSUHort),4/26/2019 0:30,4/26/2019 3:50,3.4,51.8,0,None,19.2,18%
74,East Lansing (MSUHort),4/26/2019 14:35,4/26/2019 14:40,0.2,58.1,0,None,15.3,1%
75,East Lansing (MSUHort),4/27/2019 20:10,4/28/2019 4:05,8,37.3,0.19,None,0,2%
76,East Lansing (MSUHort),4/29/2019 8:45,4/30/2019 9:15,24.6,40.1,0.62,None,34.8,55%
77,East Lansing (MSUHort),4/30/2019 15:35,4/30/2019 15:35,0.1,48.1,0,None,21.2,0%
78,East Lansing (MSUHort),4/30/2019 18:00,5/1/2019 12:40,18.8,45.2,0.6,None,23.6,82%
79,East Lansing (MSUHort),5/1/2019 23:20,5/2/2019 11:40,12.4,45.4,0,None,23.6,54%
80,East Lansing (MSUHort),5/2/2019 15:00,5/3/2019 12:20,21.4,46.7,0.03,None,22.8,94%
81,East Lansing (MSUHort),5/4/2019 3:30,5/4/2019 3:50,0.4,45.7,0,None,23.6,2%
82,East Lansing (MSUHort),5/4/2019 22:25,5/5/2019 8:15,9.9,43.2,0,None,27.6,29%
83,East Lansing (MSUHort),5/5/2019 23:25,5/6/2019 9:05,9.8,48.1,0,None,21.2,45%
84,East Lansing (MSUHort),5/6/2019 15:15,5/7/2019 12:20,21.2,47.3,0.82,None,22,92%
85,East Lansing (MSUHort),5/9/2019 5:50,5/9/2019 12:25,6.7,47.9,0.53,None,22,43%
86,East Lansing (MSUHort),5/9/2019 17:10,5/9/2019 19:05,2,61.7,0.19,None,13.9,17%
87,East Lansing (MSUHort),5/10/2019 7:15,5/10/2019 8:55,1.8,41.4,0,None,32.4,7%
88,East Lansing (MSUHort),5/11/2019 0:30,5/11/2019 7:55,7.5,36.8,0,None,0,2%
89,East Lansing (MSUHort),5/11/2019 19:50,5/12/2019 0:10,4.4,43.1,0,None,27.6,16%
90,East Lansing (MSUHort),5/12/2019 19:55,5/13/2019 3:55,8.1,42.6,0,None,30,34%
91,East Lansing (MSUHort),5/13/2019 5:55,5/13/2019 6:20,0.5,43.6,0,None,27.6,2%
92,East Lansing (MSUHort),5/13/2019 11:50,5/13/2019 12:15,0.5,41.5,0,None,32.4,2%
93,East Lansing (MSUHort),5/13/2019 21:15,5/14/2019 8:05,10.9,37.3,0,None,0,7%
94,East Lansing (MSUHort),5/15/2019 0:15,5/15/2019 7:40,7.5,42,0,None,30,19%
95,East Lansing (MSUHort),5/16/2019 0:45,5/16/2019 8:00,7.3,45.5,0,None,23.6,30%
96,East Lansing (MSUHort),5/17/2019 2:25,5/17/2019 5:40,3.3,49.6,0,None,20.4,24%
97,East Lansing (MSUHort),5/17/2019 22:25,5/18/2019 0:15,1.9,57.2,0,None,15.8,12%
98,East Lansing (MSUHort),5/18/2019 4:30,5/18/2019 9:20,4.9,48.1,0.3,None,21.2,23%
99,East Lansing (MSUHort),5/18/2019 23:35,5/19/2019 7:25,7.9,59.8,0,None,14.8,54%
100,East Lansing (MSUHort),5/19/2019 13:00,5/20/2019 3:45,14.8,54.9,0.37,Low,17.5,111%
101,East Lansing (MSUHort),5/20/2019 21:25,5/21/2019 8:00,10.7,38.9,0,None,0,12%
102,East Lansing (MSUHort),5/22/2019 4:45,5/22/2019 11:50,7.2,44.9,0.32,None,25.2,37%
103,East Lansing (MSUHort),5/23/2019 5:30,5/23/2019 9:50,4.4,61.4,0.1,None,13.9,37%
104,East Lansing (MSUHort),5/23/2019 23:15,5/24/2019 16:50,17.7,45.8,0.07,Low,23.6,101%
105,East Lansing (MSUHort),5/24/2019 22:25,5/25/2019 1:20,3,42.9,0,None,30,20%
106,East Lansing (MSUHort),5/25/2019 6:00,5/25/2019 7:40,1.8,60.9,0,None,14.3,12%
107,East Lansing (MSUHort),5/25/2019 14:25,5/25/2019 14:25,0.1,74.8,0.01,None,8.1,1%
108,East Lansing (MSUHort),5/25/2019 22:35,5/26/2019 8:10,9.7,63.8,0,None,13,75%
109,East Lansing (MSUHort),5/26/2019 15:30,5/26/2019 16:25,1,65.4,0.02,None,12.1,8%
110,East Lansing (MSUHort),5/26/2019 20:55,5/27/2019 9:25,12.6,55.8,0,None,16.9,75%
111,East Lansing (MSUHort),5/27/2019 18:30,5/28/2019 9:20,14.9,52.5,0.12,Low,18.6,104%
112,East Lansing (MSUHort),5/29/2019 1:55,5/29/2019 12:15,10.4,54.2,0.17,None,17.5,59%
113,East Lansing (MSUHort),5/29/2019 20:50,5/30/2019 13:55,17.2,57.4,0.07,Low,15.8,108%
114,East Lansing (MSUHort),5/30/2019 21:25,5/31/2019 9:00,11.7,52.8,0.01,None,18.6,64%
115,East Lansing (MSUHort),6/1/2019 2:30,6/1/2019 6:55,4.5,52.9,0,None,18.6,33%
116,East Lansing (MSUHort),6/1/2019 13:00,6/2/2019 7:25,18.5,54,0.85,Low,17.5,135%
117,East Lansing (MSUHort),6/3/2019 22:30,6/4/2019 6:25,8,46.6,0,None,22.8,35%
118,East Lansing (MSUHort),6/5/2019 6:10,6/5/2019 9:45,3.7,64.2,0.2,None,12.6,29%
119,East Lansing (MSUHort),6/6/2019 21:45,6/7/2019 8:20,10.7,57.4,0,None,15.8,67%
120,East Lansing (MSUHort),6/8/2019 2:15,6/8/2019 2:35,0.4,54.8,0,None,17.5,2%
121,East Lansing (MSUHort),6/9/2019 6:00,6/9/2019 7:40,1.8,61.2,0,None,13.9,12%
122,East Lansing (MSUHort),6/9/2019 10:40,6/10/2019 12:55,26.3,64.1,2.37,Moderate,12.6,226%
123,East Lansing (MSUHort),6/10/2019 22:35,6/11/2019 6:50,8.3,49.1,0,None,20.4,40%
124,East Lansing (MSUHort),6/11/2019 22:15,6/12/2019 7:05,8.9,53.3,0,None,18.1,49%
125,East Lansing (MSUHort),6/13/2019 1:20,6/13/2019 18:05,16.8,54.8,0.34,Low,17.5,102%
126,East Lansing (MSUHort),6/14/2019 4:35,6/14/2019 7:00,2.5,44.9,0,None,25.2,10%
127,East Lansing (MSUHort),6/15/2019 20:30,6/16/2019 14:55,18.5,55.4,0.66,Low,16.9,116%
128,East Lansing (MSUHort),6/16/2019 20:10,6/17/2019 9:40,13.6,55.5,0.05,None,16.9,86%
129,East Lansing (MSUHort),6/18/2019 1:15,6/18/2019 8:10,7,61.2,0,None,13.9,50%
130,East Lansing (MSUHort),6/18/2019 22:00,6/19/2019 8:05,10.2,61.5,0,None,13.9,73%
131,East Lansing (MSUHort),6/19/2019 13:15,6/19/2019 17:30,4.3,55.2,0.18,None,16.9,44%
132,East Lansing (MSUHort),6/19/2019 21:50,6/20/2019 16:25,18.7,61.5,1.59,Low,13.9,136%
133,East Lansing (MSUHort),6/20/2019 21:25,6/21/2019 8:20,11,53.4,0,None,18.1,61%
134,East Lansing (MSUHort),6/21/2019 21:55,6/22/2019 7:00,9.2,56.3,0,None,16.4,56%
135,East Lansing (MSUHort),6/22/2019 22:00,6/23/2019 7:25,9.5,55.2,0,None,16.9,56%
136,East Lansing (MSUHort),6/23/2019 23:20,6/24/2019 10:35,11.3,64.6,0.11,None,12.6,94%
137,East Lansing (MSUHort),6/24/2019 17:55,6/24/2019 23:20,5.5,51.6,0.01,None,19.2,53%
138,East Lansing (MSUHort),6/25/2019 4:15,6/25/2019 6:25,2.3,61.4,0,None,13.9,16%
139,East Lansing (MSUHort),6/25/2019 19:20,6/26/2019 7:05,11.8,55.3,0.05,Low,16.9,104%
140,East Lansing (MSUHort),6/26/2019 22:15,6/27/2019 6:00,7.8,62.7,0,None,13.4,59%
141,East Lansing (MSUHort),6/27/2019 22:25,6/28/2019 8:05,9.8,64.4,0,None,12.6,91%
142,East Lansing (MSUHort),6/28/2019 21:00,6/28/2019 21:30,0.6,79.2,0,None,8.8,7%
143,East Lansing (MSUHort),6/29/2019 0:25,6/29/2019 8:15,7.9,70,0,None,9.9,79%
144,East Lansing (MSUHort),6/29/2019 23:10,6/30/2019 6:45,7.7,66.4,0,None,11.7,71%
145,East Lansing (MSUHort),6/30/2019 22:20,7/1/2019 3:05,4.8,66.3,0,None,11.7,41%
146,East Lansing (MSUHort),7/2/2019 4:45,7/2/2019 7:00,2.3,69.8,0,None,10.3,23%
147,East Lansing (MSUHort),7/2/2019 9:20,7/2/2019 10:55,1.7,70.7,0.03,None,9.9,19%
148,East Lansing (MSUHort),7/2/2019 19:20,7/3/2019 10:50,15.6,68.4,0.3,Low,10.8,159%
149,East Lansing (MSUHort),7/4/2019 16:30,7/5/2019 8:10,15.8,64.8,0.86,Low,12.6,172%
150,East Lansing (MSUHort),7/5/2019 12:55,7/5/2019 13:05,0.3,80.7,0.09,None,9.5,3%
151,East Lansing (MSUHort),7/5/2019 22:20,7/6/2019 9:35,11.3,72.4,0,Low,9,126%
152,East Lansing (MSUHort),7/6/2019 16:10,7/6/2019 16:25,0.3,81.2,0,None,10.3,3%
153,East Lansing (MSUHort),7/8/2019 2:45,7/8/2019 7:40,5,52.8,0,None,18.6,27%
154,East Lansing (MSUHort),7/8/2019 21:45,7/9/2019 8:15,10.6,54.3,0,None,17.5,71%
155,East Lansing (MSUHort),7/9/2019 22:00,7/10/2019 6:50,8.9,62.2,0,None,13.4,66%
156,East Lansing (MSUHort),7/10/2019 22:20,7/10/2019 22:50,0.6,76.8,0,None,7.3,8%
157,East Lansing (MSUHort),7/12/2019 3:10,7/12/2019 9:55,6.8,55.5,0,None,16.9,43%
158,East Lansing (MSUHort),7/12/2019 22:10,7/13/2019 7:15,9.2,62.5,0,None,13.4,68%
159,East Lansing (MSUHort),7/14/2019 4:40,7/14/2019 7:10,2.6,52,0,None,18.6,18%
160,East Lansing (MSUHort),7/14/2019 22:05,7/15/2019 7:45,9.8,62.6,0,None,13.4,73%
161,East Lansing (MSUHort),7/15/2019 14:30,7/15/2019 14:30,0.1,85.9,0,None,13.2,1%
162,East Lansing (MSUHort),7/16/2019 1:40,7/16/2019 5:20,3.8,57.8,0,None,15.8,41%
163,East Lansing (MSUHort),7/16/2019 11:35,7/16/2019 13:40,2.2,53.9,0,None,18.1,29%
164,East Lansing (MSUHort),7/16/2019 17:40,7/17/2019 10:35,17,71.9,0.05,Moderate,9.4,194%
165,East Lansing (MSUHort),7/18/2019 5:55,7/18/2019 6:45,0.9,68.1,0,None,10.8,8%
166,East Lansing (MSUHort),7/18/2019 13:55,7/18/2019 14:40,0.8,76.8,0,None,7.3,11%
167,East Lansing (MSUHort),7/19/2019 3:30,7/19/2019 3:40,0.3,78,0,None,8.1,3%
168,East Lansing (MSUHort),7/19/2019 18:45,7/20/2019 8:00,13.3,61.6,0.18,Low,13.9,163%
169,East Lansing (MSUHort),7/20/2019 17:35,7/21/2019 12:45,19.3,65.2,0.39,Low,12.1,206%
170,East Lansing (MSUHort),7/22/2019 2:40,7/22/2019 7:35,5,53.5,0,None,18.1,39%
171,East Lansing (MSUHort),7/23/2019 1:20,7/23/2019 9:35,8.3,46.6,0,None,22.8,52%
172,East Lansing (MSUHort),7/23/2019 17:10,7/24/2019 8:15,15.2,52.9,0.28,Low,18.6,102%
173,East Lansing (MSUHort),7/24/2019 22:35,7/25/2019 8:50,10.3,58,0,None,15.3,67%
174,East Lansing (MSUHort),7/25/2019 23:25,7/26/2019 8:40,9.3,62,0,None,13.4,69%
175,East Lansing (MSUHort),7/26/2019 22:45,7/26/2019 23:45,1.1,65.7,0,None,12.1,9%
176,East Lansing (MSUHort),7/28/2019 15:45,7/28/2019 16:05,0.4,79.5,0,None,8.8,5%
177,East Lansing (MSUHort),7/29/2019 13:05,7/30/2019 9:10,20.2,65.9,0.12,Moderate,12.1,198%
179,East Lansing (MSUHort),8/1/2019 0:00,8/1/2019 8:40,8.8,54.4,0,None,17.5,50%
180,East Lansing (MSUHort),8/1/2019 22:55,8/2/2019 8:15,9.4,54,0,None,17.5,53%
181,East Lansing (MSUHort),8/2/2019 21:40,8/3/2019 8:45,11.2,57.4,0,None,15.8,71%
182,East Lansing (MSUHort),8/3/2019 23:25,8/4/2019 8:15,8.9,61,0,None,13.9,63%
183,East Lansing (MSUHort),8/5/2019 0:40,8/5/2019 8:45,8.2,63.2,0,None,13,62%
184,East Lansing (MSUHort),8/6/2019 9:15,8/6/2019 11:40,2.5,68.7,0.07,None,10.8,23%
185,East Lansing (MSUHort),8/6/2019 20:10,8/7/2019 9:00,12.9,65.6,0.06,Low,12.1,109%
186,East Lansing (MSUHort),8/7/2019 23:20,8/8/2019 0:10,0.9,64.8,0,None,12.6,7%
187,East Lansing (MSUHort),8/8/2019 3:20,8/8/2019 9:50,6.6,65.1,0.08,None,12.1,54%
